rnRoomNameID,rnRoomTypeID,rnRoomNameEn,rnRoomNameAr
1,1,Budget Single Room,غرفة اقتصادية مفردة
2,1,Deluxe Single Room,غرفة ديلوكس مفردة
3,1,Deluxe Single Room with Balcony,غرفة ديلوكس مفردة مع شرفة
4,1,Deluxe Single Room with Sea View,غرفة ديلوكس مفردة مطلة على البحر
5,1,Economy Single Room,غرفة اقتصادية مفردة
6,1,Large Single Room,غرفة فردية كبيرة
7,1,New Year's Eve Special - Single Room,ليلة رأس السنة الخاصة - غرفة فردية
8,1,Single Room,غرفة مفردة
9,1,Single Room - Disability Access,غرفة مفردة - وصول ذوي الاحتياجات الخاصة
10,1,Single Room with Balcony,غرفة مفردة مع شرفة
11,1,Single Room with Bath,غرفة مفردة مع حمام
12,1,Single Room with Bathroom,غرفة مفردة مع حمام
13,1,Single Room with Garden View,غرفة مفردة مطلة على الحديقة
14,1,Single Room with Lake View,غرفة مفردة مطلة على البحيرة
15,1,Single Room with Mountain View,غرفة مفردة مطلة على الجبل
16,1,Single Room with Park View,غرفة مفردة مطلة على الحديقة
17,1,Single Room with Pool View,غرفة مفردة مطلة على المسبح
18,1,Single Room with Private Bathroom,غرفة مفردة مع حمام خاص
19,1,Single Room with Private External Bathroom,غرفة مفردة مع حمام خارجي خاص
20,1,Single Room with Sea View,غرفة مفردة مطلة على البحر
21,1,Single Room with Shared Bathroom,غرفة مفردة مع حمام مشترك
22,1,Single Room with Shared Shower and Toilet,غرفة مفردة مع دش ومرحاض مشتركين
23,1,Single Room with Shared Toilet,غرفة مفردة مع مرحاض مشترك
24,1,Single Room with Shower,غرفة مفردة مع دش
25,1,Single Room with Terrace,غرفة مفردة مع تراس
26,1,Small Single Room,غرفة مفردة صغيرة
27,1,Standard Single Room,غرفة قياسية مفردة
28,1,Standard Single Room with Mountain View,غرفة قياسية مفردة مطلة على الجبل
29,1,Standard Single Room with Sauna,غرفة قياسية مفردة مع ساونا
30,1,Standard Single Room with Sea View,غرفة قياسية مفردة مطلة على البحر
31,1,Standard Single Room with Shared Bathroom,غرفة قياسية مفردة مع حمام مشترك
32,1,Standard Single Room with Shower,غرفة قياسية مفردة مع دش
33,1,Superior Single Room,غرفة سوبيريور مفردة
34,1,Superior Single Room with Lake View,غرفة سوبيريور مفردة مطلة على البحيرة
35,1,Superior Single Room with Sea View,غرفة سوبيريور مفردة مطلة على البحر
36,2,Budget Double Room,غرفة اقتصادية مزدوجة
37,2,Business Double Room with Gym Access,غرفة رجال أعمال مزدوجة مع الدخول إلى صالة الألعاب الرياضية
38,2,Deluxe Double Room,غرفة ديلوكس مزدوجة
39,2,Deluxe Double Room (1 adult + 1 child),غرفة ديلوكس مزدوجة (شخص بالغ + طفل واحد)
40,2,Deluxe Double Room (1 adult + 2 children),غرفة ديلوكس مزدوجة (شخص بالغ + طفلان)
41,2,Deluxe Double Room (2 Adults + 1 Child),غرفة ديلوكس مزدوجة (لشخصين بالغين + طفل واحد)
42,2,Deluxe Double Room with Balcony,غرفة ديلوكس مزدوجة مع شرفة
43,2,Deluxe Double Room with Balcony and Sea View,غرفة ديلوكس مزدوجة مع شرفة وإطلالة على البحر
